Kabupaten/Kota,
,Persentase Penduduk Miskin Menurut Kabupaten/Kota di Jawa Barat (Persen)
,2020
Provinsi Jawa Barat,7.88
Bogor,7.69
Sukabumi,7.09
Cianjur,10.36
Bandung,6.91
Garut,9.98
Tasikmalaya,10.34
Ciamis,7.62
Kuningan,12.82
Cirebon,11.24
Majalengka,11.43
Sumedang,10.26
Indramayu,12.7
Subang,9.31
Purwakarta,8.27
Karawang,8.26
Bekasi,4.82
Bandung Barat,10.49
Pangandaran,8.99
Kota Bogor,6.68
Kota Sukabumi,7.7
Kota Bandung,3.99
Kota Cirebon,9.52
Kota Bekasi,4.38
Kota Depok,2.45
Kota Cimahi,5.11
Kota Tasikmalaya,12.97
Kota Banjar,6.09
