Wilayah Jawa Barat,
,Tingkat Pengangguran Terbuka Menurut Kabupaten/Kota (%)
,2022
Provinsi Jawa Barat,8.31
Bogor,10.64
Sukabumi,7.77
Cianjur,8.41
Bandung,6.98
Garut,7.6
Tasikmalaya,4.17
Ciamis,3.75
Kuningan,9.81
Cirebon,8.11
Majalengka,4.16
Sumedang,7.72
Indramayu,6.49
Subang,7.77
Purwakarta,8.75
Karawang,9.87
Bekasi,10.31
Bandung Barat,9.63
Pangandaran,1.56
Kota Bogor,10.78
Kota Sukabumi,8.83
Kota Bandung,9.55
Kota Cirebon,8.42
Kota Bekasi,8.81
Kota Depok,7.82
Kota Cimahi,10.77
Kota Tasikmalaya,6.62
Kota Banjar,5.53
