id,kode_provinsi,nama_provinsi,garis_kemiskinan,satuan,tahun
1,32,JAWA BARAT,137929,RUPIAH/KAPITA/BULAN,2004
2,32,JAWA BARAT,133701,RUPIAH/KAPITA/BULAN,2005
3,32,JAWA BARAT,149673,RUPIAH/KAPITA/BULAN,2006
4,32,JAWA BARAT,165734,RUPIAH/KAPITA/BULAN,2007
5,32,JAWA BARAT,190788,RUPIAH/KAPITA/BULAN,2008
6,32,JAWA BARAT,220068,RUPIAH/KAPITA/BULAN,2009
7,32,JAWA BARAT,230445,RUPIAH/KAPITA/BULAN,2010
8,32,JAWA BARAT,226097,RUPIAH/KAPITA/BULAN,2011
9,32,JAWA BARAT,242104,RUPIAH/KAPITA/BULAN,2012
10,32,JAWA BARAT,276825,RUPIAH/KAPITA/BULAN,2013
11,32,JAWA BARAT,291474,RUPIAH/KAPITA/BULAN,2014
12,32,JAWA BARAT,306876,RUPIAH/KAPITA/BULAN,2015
13,32,JAWA BARAT,324992,RUPIAH/KAPITA/BULAN,2016
14,32,JAWA BARAT,344427,RUPIAH/KAPITA/BULAN,2017
15,32,JAWA BARAT,367755,RUPIAH/KAPITA/BULAN,2018
16,32,JAWA BARAT,386198,RUPIAH/KAPITA/BULAN,2019
17,32,JAWA BARAT,410988,RUPIAH/KAPITA/BULAN,2020
18,32,JAWA BARAT,427402,RUPIAH/KAPITA/BULAN,2021
19,32,JAWA BARAT,452580,RUPIAH/KAPITA/BULAN,2022
20,32,JAWA BARAT,495229,RUPIAH/KAPITA/BULAN,2023
21,32,JAWA BARAT,524052,RUPIAH/KAPITA/BULAN,2024
22,32,JAWA BARAT,547752,RUPIAH/KAPITA/BULAN,2025
