region,poverty_rate,unemployment_rate,poverty_level
nan,2025.0,2025.0,2025.0
Bogor,6.26,7.69,531412.0
Sukabumi,6.41,7.23,431785.0
Cianjur,9.82,6.17,482562.0
Bandung,6.04,6.68,468974.0
Garut,9.39,6.54,407191.0
Tasikmalaya,10.15,3.69,413178.0
Ciamis,7.19,4.08,483644.0
Kuningan,10.74,7.59,435184.0
Cirebon,10.23,6.42,491604.0
Majalengka,10.31,3.62,566574.0
Sumedang,8.81,6.08,436490.0
Indramayu,11.02,6.47,578169.0
Subang,9.23,6.8,449186.0
Purwakarta,7.87,7.54,483968.0
Karawang,7.08,7.99,617901.0
Bekasi,4.36,8.78,698154.0
Bandung Barat,9.87,6.6,471101.0
Pangandaran,8.03,1.91,486285.0
Kota Bogor,5.89,7.95,730079.0
Kota Sukabumi,6.9,8.19,706415.0
Kota Bandung,3.78,7.22,644417.0
Kota Cirebon,8.66,6.41,571809.0
Kota Bekasi,3.96,7.33,864601.0
Kota Depok,2.31,6.52,884633.0
Kota Cimahi,4.2,8.75,642016.0
Kota Tasikmalaya,10.84,6.43,591600.0
Kota Banjar,5.73,5.26,451277.0
