38 Provinsi,,,,,,,,,
,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2020,,,2020,,,2020,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,9.84,10.31,-,17.46,17.96,-,14.99,15.43,-
SUMATERA UTARA,8.73,9.25,-,8.77,9.02,-,8.75,9.14,-
SUMATERA BARAT,4.97,5.22,-,7.43,7.83,-,6.28,6.56,-
RIAU,6.12,6.39,-,7.29,7.47,-,6.82,7.04,-
JAMBI,10.41,11.22,-,6.23,6.4,-,7.58,7.97,-
SUMATERA SELATAN,12.16,12.52,-,12.96,13.25,-,12.66,12.98,-
BENGKULU,14.77,15.06,-,15.16,15.42,-,15.03,15.3,-
LAMPUNG,9.02,9.59,-,13.83,14.22,-,12.34,12.76,-
KEP. BANGKA BELITUNG,3.06,3.43,-,6.33,6.75,-,4.53,4.89,-
KEP. RIAU,5.42,5.69,-,10.43,11.25,-,5.92,6.13,-
DKI JAKARTA,4.53,4.69,-,-,-,-,4.53,4.69,-
JAWA BARAT,7.14,7.79,-,10.27,10.64,-,7.88,8.43,-
JAWA TENGAH,10.09,10.57,-,12.8,13.2,-,11.41,11.84,-
DI YOGYAKARTA,11.53,12.17,-,14.31,14.57,-,12.28,12.8,-
JAWA TIMUR,7.89,8.37,-,14.77,15.16,-,11.09,11.46,-
BANTEN,5.03,5.85,-,8.18,8.57,-,5.92,6.63,-
BALI,3.33,4.04,-,4.78,5.4,-,3.78,4.45,-
NUSA TENGGARA BARAT,14.9,15.05,-,13.09,13.42,-,13.97,14.23,-
NUSA TENGGARA TIMUR,8.64,8.76,-,24.73,25.26,-,20.9,21.21,-
KALIMANTAN BARAT,4.69,4.86,-,8.5,8.57,-,7.17,7.24,-
KALIMANTAN TENGAH,4.62,4.92,-,4.96,5.5,-,4.82,5.26,-
KALIMANTAN SELATAN,3.61,3.83,-,5.08,5.76,-,4.38,4.83,-
KALIMANTAN TIMUR,4.45,5.1,-,9.51,9.98,-,6.1,6.64,-
KALIMANTAN UTARA,5.06,5.74,-,9.46,10.07,-,6.8,7.41,-
SULAWESI UTARA,5.22,5.31,-,10.25,10.64,-,7.62,7.78,-
SULAWESI TENGAH,8.76,9.21,-,14.69,14.76,-,12.92,13.06,-
SULAWESI SELATAN,4.49,4.92,-,11.97,12.25,-,8.72,8.99,-
SULAWESI TENGGARA,7.14,7.62,-,13.5,13.93,-,11,11.69,-
GORONTALO,3.97,4.18,-,23.45,24.32,-,15.22,15.59,-
SULAWESI BARAT,9.59,9.98,-,11.26,11.89,-,10.87,11.5,-
MALUKU,6.23,6.36,-,26.21,27.06,-,17.44,17.99,-
MALUKU UTARA,4.53,5.03,-,7.7,7.74,-,6.78,6.97,-
PAPUA BARAT,5.85,6.31,-,32.7,33.2,-,21.37,21.7,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,4.47,4.59,-,35.5,35.69,-,26.64,26.8,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,7.38,7.88,-,12.82,13.2,-,9.78,10.19,-
