38 Provinsi,,,,,,,,,
,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2021,,,2021,,,2021,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,10.46,10.58,-,17.78,18.04,-,15.33,15.53,-
SUMATERA UTARA,9.15,8.68,-,8.84,8.26,-,9.01,8.49,-
SUMATERA BARAT,5.3,4.83,-,7.91,7.23,-,6.63,6.04,-
RIAU,6.52,6.72,-,7.51,7.19,-,7.12,7,-
JAMBI,11.52,10.5,-,6.42,6.28,-,8.09,7.67,-
SUMATERA SELATAN,12.36,11.99,-,13.12,13.28,-,12.84,12.79,-
BENGKULU,15.1,14.73,-,15.28,14.28,-,15.22,14.43,-
LAMPUNG,9.29,8.5,-,14.18,13.18,-,12.62,11.67,-
KEP. BANGKA BELITUNG,3.57,3.22,-,6.63,6.57,-,4.9,4.67,-
KEP. RIAU,5.72,5.37,-,11.1,10.45,-,6.12,5.75,-
DKI JAKARTA,4.72,4.67,-,-,-,-,4.72,4.67,-
JAWA BARAT,7.82,7.48,-,10.46,9.76,-,8.4,7.97,-
JAWA TENGAH,10.58,10.16,-,13.07,12.44,-,11.79,11.25,-
DI YOGYAKARTA,12.23,11.2,-,14.44,13.99,-,12.8,11.91,-
JAWA TIMUR,8.38,7.99,-,15.05,13.79,-,11.4,10.59,-
BANTEN,5.93,6.04,-,8.49,7.72,-,6.66,6.5,-
BALI,4.12,4.33,-,5.52,5.68,-,4.53,4.72,-
NUSA TENGGARA BARAT,14.92,14.54,-,13.37,13.12,-,14.14,13.83,-
NUSA TENGGARA TIMUR,8.6,8.57,-,25.08,24.42,-,20.99,20.44,-
KALIMANTAN BARAT,4.68,4.72,-,8.54,8.05,-,7.15,6.84,-
KALIMANTAN TENGAH,4.86,5.08,-,5.38,5.23,-,5.16,5.16,-
KALIMANTAN SELATAN,3.89,3.81,-,5.71,5.28,-,4.83,4.56,-
KALIMANTAN TIMUR,5.01,4.74,-,9.87,9.63,-,6.54,6.27,-
KALIMANTAN UTARA,5.85,5.32,-,9.82,9.31,-,7.36,6.83,-
SULAWESI UTARA,5.36,5.09,-,10.61,10.07,-,7.77,7.36,-
SULAWESI TENGAH,9.15,8.82,-,14.73,13.71,-,13,12.18,-
SULAWESI SELATAN,4.77,4.89,-,12.05,11.55,-,8.78,8.53,-
SULAWESI TENGGARA,7.66,7.14,-,13.89,14.34,-,11.66,11.74,-
GORONTALO,4.23,4.06,-,24.47,24.38,-,15.61,15.41,-
SULAWESI BARAT,9.82,9.72,-,11.67,12.39,-,11.29,11.85,-
MALUKU,6.29,6.13,-,26.96,24.34,-,17.87,16.3,-
MALUKU UTARA,5.13,4.83,-,7.59,7,-,6.89,6.38,-
PAPUA BARAT,6.5,6.44,-,33.4,33.5,-,21.84,21.82,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,4.91,4.94,-,35.71,36.5,-,26.86,27.38,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,7.89,7.6,-,13.1,12.53,-,10.14,9.71,-
