Kabupaten/Kota,
,Persentase Penduduk Miskin Menurut Kabupaten/Kota di Jawa Barat (Persen)
,2022
Provinsi Jawa Barat,8.06
Bogor,7.73
Sukabumi,7.34
Cianjur,10.55
Bandung,6.8
Garut,10.42
Tasikmalaya,10.73
Ciamis,7.72
Kuningan,12.76
Cirebon,12.01
Majalengka,11.94
Sumedang,10.14
Indramayu,12.77
Subang,9.75
Purwakarta,8.7
Karawang,8.44
Bekasi,5.01
Bandung Barat,10.82
Pangandaran,9.32
Kota Bogor,7.1
Kota Sukabumi,8.02
Kota Bandung,4.25
Kota Cirebon,9.82
Kota Bekasi,4.43
Kota Depok,2.53
Kota Cimahi,5.11
Kota Tasikmalaya,12.72
Kota Banjar,6.73
