Wilayah Jawa Barat,
,Tingkat Pengangguran Terbuka Kabupaten/Kota (Persen)
,2025
Provinsi Jawa Barat,6.77
Bogor,7.69
Sukabumi,7.23
Cianjur,6.17
Bandung,6.68
Garut,6.54
Tasikmalaya,3.69
Ciamis,4.08
Kuningan,7.59
Cirebon,6.42
Majalengka,3.62
Sumedang,6.08
Indramayu,6.47
Subang,6.8
Purwakarta,7.54
Karawang,7.99
Bekasi,8.78
Bandung Barat,6.6
Pangandaran,1.91
Kota Bogor,7.95
Kota Sukabumi,8.19
Kota Bandung,7.22
Kota Cirebon,6.41
Kota Bekasi,7.33
Kota Depok,6.52
Kota Cimahi,8.75
Kota Tasikmalaya,6.43
Kota Banjar,5.26
