Wilayah Jawa Barat,
,Tingkat Pengangguran Terbuka Menurut Kabupaten/Kota (%)
,2024
Provinsi Jawa Barat,6.75
Bogor,7.34
Sukabumi,7.11
Cianjur,5.99
Bandung,6.36
Garut,6.96
Tasikmalaya,3.74
Ciamis,3.37
Kuningan,7.78
Cirebon,6.74
Majalengka,4.01
Sumedang,6.16
Indramayu,6.25
Subang,6.73
Purwakarta,7.34
Karawang,8.04
Bekasi,8.82
Bandung Barat,6.7
Pangandaran,1.58
Kota Bogor,8.13
Kota Sukabumi,8.34
Kota Bandung,7.4
Kota Cirebon,6.29
Kota Bekasi,7.82
Kota Depok,6.27
Kota Cimahi,8.97
Kota Tasikmalaya,6.49
Kota Banjar,5.44
