38 Provinsi,,,,,,
,Garis Kemiskinan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,
,Perkotaan,,,Perdesaan,,
,2024,,,2024,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,696048,704200,-,643398,645687,-
SUMATERA UTARA,667922,674427,-,610264,614445,-
SUMATERA BARAT,723567,731235,-,691901,697052,-
RIAU,740222,746476,-,669374,673431,-
JAMBI,744044,754235,-,606150,612745,-
SUMATERA SELATAN,589596,603305,-,533792,541821,-
BENGKULU,736758,742765,-,640485,642620,-
LAMPUNG,640908,655653,-,560363,571802,-
KEP. BANGKA BELITUNG,892169,903322,-,930378,938001,-
KEP. RIAU,791352,812294,-,749604,764885,-
DKI JAKARTA,825288,846085,-,-,-,-
JAWA BARAT,525489,537457,-,517841,527645,-
JAWA TENGAH,517415,532913,-,495627,508298,-
DI YOGYAKARTA,628626,642099,-,524188,531516,-
JAWA TIMUR,551702,565284,-,516684,525955,-
BANTEN,671171,684205,-,590082,600404,-
BALI,586945,600260,-,520238,526833,-
NUSA TENGGARA BARAT,547412,554327,-,520679,525027,-
NUSA TENGGARA TIMUR,638261,645346,-,488995,495180,-
KALIMANTAN BARAT,643365,659658,-,567773,581931,-
KALIMANTAN TENGAH,600297,619613,-,640651,657942,-
KALIMANTAN SELATAN,643008,658002,-,621494,629413,-
KALIMANTAN TIMUR,838902,862414,-,822269,833539,-
KALIMANTAN UTARA,885655,904171,-,799327,823347,-
SULAWESI UTARA,498271,522165,-,481647,498100,-
SULAWESI TENGAH,612668,621778,-,594692,601981,-
SULAWESI SELATAN,485401,491078,-,436463,447672,-
SULAWESI TENGGARA,485632,493453,-,448359,460567,-
GORONTALO,475851,495325,-,469568,480307,-
SULAWESI BARAT,459812,467996,-,453719,458416,-
MALUKU,724132,760478,-,705301,722619,-
MALUKU UTARA,642484,677285,-,588740,623790,-
PAPUA BARAT,922150,944616,-,734247,753746,-
PAPUA BARAT DAYA,765253,810708,-,747651,772812,-
PAPUA,749674,787183,-,570295,593469,-
PAPUA SELATAN,646036,681536,-,442090,454091,-
PAPUA TENGAH,920104,959039,-,714270,745530,-
PAPUA PEGUNUNGAN,1283920,1377464,-,992374,1058697,-
INDONESIA,601871,615763,-,556874,566655,-
