38 Provinsi,,,,,,,,,
,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2025,,,2025,,,2025,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,8.54,8.15,-,14.44,14.51,-,12.33,12.22,-
SUMATERA UTARA,7.1,7.16,-,7.71,7.35,-,7.36,7.24,-
SUMATERA BARAT,3.91,3.75,-,6.93,7.03,-,5.35,5.31,-
RIAU,5.75,5.61,-,6.43,6.76,-,6.16,6.3,-
JAMBI,9.52,9.25,-,6.01,5.7,-,7.19,6.89,-
SUMATERA SELATAN,9.1,8.91,-,10.79,10.43,-,10.15,9.85,-
BENGKULU,12.34,13.23,-,11.95,11.19,-,12.08,11.88,-
LAMPUNG,7.49,7.37,-,11.32,10.88,-,10,9.66,-
KEP. BANGKA BELITUNG,3.89,3.59,-,6.59,6.5,-,5,4.77,-
KEP. RIAU,4.13,3.85,-,8.33,8.7,-,4.44,4.26,-
DKI JAKARTA,4.28,4.03,-,-,-,-,4.28,4.03,-
JAWA BARAT,6.76,6.66,-,8.15,7.28,-,7.02,6.78,-
JAWA TENGAH,9.1,8.99,-,9.92,9.87,-,9.48,9.39,-
DI YOGYAKARTA,10.16,9.99,-,10.46,10.37,-,10.23,10.08,-
JAWA TIMUR,7,6.93,-,12.86,12.55,-,9.5,9.3,-
BANTEN,5.58,5.35,-,5.89,6.27,-,5.63,5.51,-
BALI,3.27,3.06,-,4.97,4.44,-,3.72,3.42,-
NUSA TENGGARA BARAT,12.02,11.7,-,11.51,11.02,-,11.78,11.38,-
NUSA TENGGARA TIMUR,7.68,6.96,-,22.66,21.48,-,18.6,17.5,-
KALIMANTAN BARAT,4.48,4.29,-,7.22,7.05,-,6.16,5.97,-
KALIMANTAN TENGAH,5.46,4.84,-,4.97,5.02,-,5.19,4.94,-
KALIMANTAN SELATAN,3.43,2.91,-,4.25,4.58,-,3.84,3.73,-
KALIMANTAN TIMUR,4.16,4.31,-,7.48,7.24,-,5.17,5.19,-
KALIMANTAN UTARA,5.27,5.86,-,5.98,4.72,-,5.54,5.47,-
SULAWESI UTARA,4.25,3.95,-,9.95,10.11,-,6.71,6.62,-
SULAWESI TENGAH,6.98,6.4,-,12.93,12.66,-,10.92,10.52,-
SULAWESI SELATAN,5.14,5.17,-,9.88,9.56,-,7.6,7.43,-
SULAWESI TENGGARA,6.42,6.65,-,13.13,12.66,-,10.54,10.14,-
GORONTALO,4.68,4.46,-,20.8,19.86,-,13.24,12.62,-
SULAWESI BARAT,8.35,7.68,-,10.94,10.84,-,10.41,10.18,-
MALUKU,4.36,4.8,-,24.61,24.01,-,15.38,15.25,-
MALUKU UTARA,5.95,5.71,-,5.76,5.54,-,5.81,5.59,-
PAPUA BARAT,9.22,9.6,-,25.88,24.32,-,20.66,19.58,-
PAPUA BARAT DAYA,8.98,7.27,-,29.71,30.77,-,17.95,17.5,-
PAPUA,6.58,5.85,-,38.47,38,-,19.16,17.82,-
PAPUA SELATAN,4.12,4.93,-,28.86,27.79,-,19.71,19.26,-
PAPUA TENGAH,5.51,6.54,-,36.54,39.14,-,28.9,29.45,-
PAPUA PEGUNUNGAN,13,13.06,-,31.36,30.25,-,30.03,27.21,-
INDONESIA,6.73,6.6,-,11.03,10.72,-,8.47,8.25,-
